Date,Price,Log Price
2011-07-17,13.2581353109293,1.12248244706121
2011-07-18,13.6305212504383,1.13451246418834
2011-07-19,13.8247948386908,1.14065869505192
2011-07-20,13.6783305920514,1.13603309600241
2011-07-21,13.6118084418469,1.13391582866692
2011-07-22,13.6985473310929,1.1366745146352
2011-07-23,13.6817183424898,1.1361406456148
2011-07-24,13.992515176505,1.14589578662174
2011-07-25,14.0334253787259,1.14716368966767
2011-07-26,13.8780323232028,1.14232789466689
2011-07-27,13.878224755114,1.14233391652473
2011-07-28,13.4915910756867,1.130063169438
2011-07-29,13.5123163901227,1.13072980566269
2011-07-30,13.5402806738749,1.13162766684925
2011-07-31,13.3729061022794,1.12622579522296
2011-08-01,13.0191138468732,1.11458142474597
2011-08-02,12.2141564389246,1.08686347813951
2011-08-03,9.28635691350088,0.967845371402647
2011-08-04,10.7685037481005,1.03215536354995
2011-08-05,9.73015395967271,0.988119712139606
2011-08-06,6.964169735827,0.842869347516333
2011-08-07,8.50179329222677,0.929510541570106
2011-08-08,7.77533763793104,0.890719257005183
2011-08-09,9.80249948100526,0.991336827978461
2011-08-10,10.0512531274109,1.00222021025331
2011-08-11,9.43841299473992,0.97489897675904
2011-08-12,9.45299328521333,0.975569349399445
2011-08-13,10.0040247445938,1.00017475727151
2011-08-14,10.8068207665108,1.03369794865849
2011-08-15,11.1306965499708,1.04652234298189
2011-08-16,10.9919655669199,1.04107535926059
2011-08-17,10.9639640561075,1.03996760309331
2011-08-18,10.8584714558738,1.03576869403724
2011-08-19,11.6704730432496,1.06708845980795
2011-08-20,11.4597317393337,1.05917445135819
2011-08-21,11.3544813407364,1.05516730095111
2011-08-22,10.9208958246639,1.03825826435326
2011-08-23,10.9172450543542,1.03811305882283
2011-08-24,10.870444289889,1.03624729465704
2011-08-25,9.5460936735827,0.979825691681227
2011-08-26,8.12692016306254,0.909925993367732
2011-08-27,8.59649760666277,0.934321546602211
2011-08-28,9.03086639976622,0.95572941748822
2011-08-29,8.96115727060199,0.952364099369907
2011-08-30,8.80994873816481,0.944973381420343
2011-08-31,8.19915176446523,0.913768925180441
2011-09-01,8.23428166510813,0.91562571856504
2011-09-02,8.6214244377557,0.935579026190077
2011-09-03,8.44965344067796,0.926838896891976
2011-09-04,8.20347060227937,0.91399762610793
2011-09-05,7.5973325251315,0.880661135311651
2011-09-06,6.84653002893045,0.835470517315648
2011-09-07,7.16297027352426,0.855093148831221
2011-09-08,6.67818000029223,0.824658120630321
2011-09-09,4.98677704178843,0.697819951397516
2011-09-10,4.74284665517242,0.676039083351211
2011-09-11,5.85290397253068,0.76737139878663
2011-09-12,6.09062947223846,0.784662179692373
2011-09-13,5.80252327703098,0.763616891319396
2011-09-14,5.59743261016949,0.747988873629772
2011-09-15,4.86775518468732,0.687328728018796
2011-09-16,4.83116810052601,0.684052149028795
2011-09-17,4.775285635301,0.678999354165827
2011-09-18,5.23673227819988,0.719060371672631
2011-09-19,5.52037669199299,0.741968713539382
2011-09-20,6.14666555172414,0.78863958322136
2011-09-21,5.59706749795441,0.747960544321842
2011-09-22,5.47504877673875,0.738387992621585
2011-09-23,5.56342141963764,0.745341958249525
2011-09-24,5.45788968731736,0.737024753636277
2011-09-25,5.34115488135593,0.727635171704948
2011-09-26,4.87382608123904,0.687870027658345
2011-09-27,4.91115779251899,0.691183887973873
2011-09-28,4.76341532144945,0.677918449231554
2011-09-29,4.77766097837522,0.679215329079692
2011-09-30,5.14368590999416,0.711274441307881
2011-10-01,5.03407054471069,0.701919297220273
2011-10-02,5.00706259672706,0.699583020846326
2011-10-03,5.02284486031561,0.700949764393003
2011-10-04,4.95680562068966,0.695201888540603
2011-10-05,4.88506713091759,0.68887053619947
2011-10-06,4.73016629573349,0.6748764092473
2011-10-07,4.27603575686733,0.631041328189042
2011-10-08,3.98125299415546,0.60001977629662
2011-10-09,4.11163464348334,0.614014516646594
2011-10-10,4.07496248392753,0.610123614769675
2011-10-11,4.00892449590883,0.603027876824493
2011-10-12,4.16623534248977,0.619743798750913
2011-10-13,4.03698109000584,0.606056715096381
2011-10-14,3.98628088544711,0.600567897149677
2011-10-15,3.83733856049094,0.584030117797878
2011-10-16,3.60974171654003,0.557476128472318
2011-10-17,2.58124672180012,0.411829517444051
2011-10-18,2.42227473816482,0.38422339995572
2011-10-19,2.21725471303331,0.345815586714254
2011-10-20,2.35612350847458,0.372198052517046
2011-10-21,2.57009230508475,0.409948721334826
2011-10-22,3.15548613851549,0.499066276737239
2011-10-23,3.14775092986558,0.498000360896552
2011-10-24,2.52293599766219,0.401906233389274
2011-10-25,2.80192383109293,0.447456325030535
2011-10-26,2.7775052390415,0.443654886797304
2011-10-27,3.04540782758621,0.483645459665232
2011-10-28,3.17963943658679,0.502377874833835
2011-10-29,3.56918896873174,0.552569542045009
2011-10-30,3.25740372296902,0.512871588405744
2011-10-31,3.26509821274109,0.513896249197618
2011-11-01,3.17100774284044,0.501197302471356
2011-11-02,3.2558005666277,0.512657794415638
2011-11-03,3.16831638515488,0.500828543329753
2011-11-04,3.12011817182934,0.494171042865081
